,Author,Post Content,No of Reactions,No of Comments,Comment One,Comment Two
94,Malebogo Nngee Mothibi,Yesterday at FNb ATM at palmgrove mall this is what the machine gave me. I immediately went to airport junction FNB to lodge my query. I was told to join a very long queue so that I can fill a form then they will go and look for the remaining piece. Just imagine how much I spent to want P50. And to think I don't even bank with them made me so angry. FNB ke batla madi ame,191,103,Go lebega ale mantsi maloba ke tsere one ao ko lobatse entse ele 50pula,Reka !!! Gomo ke 40 pula (4/5)
95,Mpho Poster Postiga Keitsemang,Waitse ga gona selo se se tenang jaaka go folela selo o se duela mme o sa bone thuso gona le fuel station ee mo railpark these people ga baitse se ba se tletseng mo tirong di tip di ba ile tlhogong fa o sena madi a tip o tla ema gone foo ba sa go thuse,15,3,"Ele gore ba ripiwa before they help you, how then do they know gore you will not tip them after they serve you",I always go there in the afternoons but not ebmven to come nd assist you they come when u shout at themI always tell them we buy petrol to be paid tsa di bribery ga di tlhokege
96,Richard Harriman,,25,13,"Richarde thes is wronge, she’s note a theife",
97,Alice Tiroyamodimo,"Bagaetsho ! I would like to name and praise the two supervisors ko CHICKEN LICKEN GAME CITY ! I was not able to get their names ,  but it was a lady and a gentleman who were on shift between 1pm and 2pm . My order took over 40 minutes to be given to me and I only found out after thirty minutes that the chicken had run out and was being cooked . I had not raised a complaint but after a while the lady came to me and asked to see my receipt.  She proceeded to go to the kitchen t…See more",274,33,Bo kobiwa motirong ba bositse Madi a business...,Wow
98,Keoagile Jack Robert,Orangecustomer service ya lona e poor...I went to Yash cell ba ganne go nthusa Ie lona fa kelo leletsa le mpolella gr ktle kodi office tsa lona ebile ngwanyana kefa a ndropela....knt le hirile ba2 baba sa itsing go kwala golo koojst maloba jaana nne re dira di KYC now le mpolella gr maina ame ga kwadiwa sentle...bona gale sa btle gole thusa lere bolelle retswe mo network ya lona,9,2,"Ke tenega gore ha ke utlwa gotwe Orange, sale ka ba ja 20pula wame ka di 17 tsa July till now ba mpaa ha Le ha",
99,Jaden April,"Kante lare extension 2 clinic e ka reportiwa kae kaore even their matron is supporting se ba se irang , we have been here since morning, ngaka ya teng ha le complainer wa re ngala , o teng yaana o nna a belegane le beke ,o tswa hela asa laele le balwetse ,keeng nkare ba re irela favour mme ba duelwa ne batho",123,79,My lil sister went there 2days ago a isetse her 2weeks old baby keha ale mo line for 4 hours ngaka a tsenya girl e nngwe keha reya go mo ntsha coz ore tseneletse!ijooo ngaka keha e ngadile ebile a thusa a latlhella,Ga se ko go Minister wa Health?
100,Aaron Mkandawire,"THATO LEHAKAE OF MASCOM CALL CENTER , MASCOM IS NUMBER 1 BECAUSE OF YOU . YOU RENDER THE BEST SERVICES TO YOUR CUSTOMERS.  I PLEED WITH YOUR SUPERVISOR TO PROMOTE YOU TO A CUSTOMER SERVICE SUPERVISOR AS WELL AND TEACH YOUR COUNTERPARTS HOW TO SERVE THE NATION . BEST SERVICE RECEIVED FROM YOU TODAY AND ALL THE TIME .",13,3,Thato Rathedi Lefakae ultwa nkgonne,
101,Keene Mhusiwa,"MascomTwo days without network. No internet, no calls. No apologies. Nothing. Major inconvenience. Can't even contact your helpline.",9,14,"Mascom  ekare ba tla ba problem shame. Ba nkgopisa gore, ha ele internet yone ba worse worse. Setse ba re talla tota.",
102,Tabulawa Bangu,#Mascom: What is happening with your network? Yesterday (Tuesday 3rd September) Your network was gone for at least 10 hours in Tonota. Right now there is no network and there is no explanation whatsoever. Sentle sentle  le  dira jang?,5,4,Situation wrte nw..it's been over 8hrs ,
103,Tankiso Mosebetsi,"I will like to praise Bana Pele paediatric clinic in Lobatse, their service is very good, receptionists ba amogela bana ka lorato, keep the good work bo mma le rra",54,5,Go tla ba bisi..keep.it up ngakaSpirit ke sone,A child friendly clinic 
104,Blade Maruatona,Mascomplease bring back network in Borolong near Francistown we have scheduled meetings,5,7,Imagine the whole day go Sena netwrk,Same here mo Tonota
105,Steve Andrew Moss,"When will BPC start to treat their customers as customers, we have weekly shut offs (for the day) and when BPC are called they say it was scheduled. BUT they don't tell their consumers!What would they do if we al say well maybe we won't pay BPC this month as we don't think they provide a decent service!",7,3,"I always get an SMS, usually 2 to 3 days in advance. Often, if the outage is longer than planned, there'll be a follow up SMS",They do such in advance through their FB PAGE.. always go through it ..
106,Masego Bogman-Lewaneka,"I am sick and tired of the customer service of standard Chartered Bank I am even regretting the video I did praising them of their customer service, I have long requested for credit card settlement certificates I have been told so many stories by their call center and what pisses me even more is that they don't even seem to care",6,4,Standard chartered mma Ga E sa thole E le yone sentle.u can take Bo more than 72hrs jst for their service E nna story after story,Tota setse re dirwa ke loyalty fela..mme yone ga e mo go rona gotlhele.e latelwa ko gc go a go booker statement..fa o se ntsha mo email o boa o ba latela gape ko gc for setempe aitse ruri.o bo oitlhela queue e tswetse kontle..go le slow.santse ke akany… See more
107,Trevor Modise,Botswana Unified Revenue Service - BURSI am out of superlatives to describe the experience I got from Dothodzo Madwala and Maureen Dipholothese 2 ladies just made my daykeep shining ladies,92,10,Nna ke ithobogile ka bone,
108,Geuza Mmese,"Sefalana Mogoditshane opposite MOTOVAC I'm disappointed with your service, you are cheating us customers with your pricing at the shelf is cheaper but at the tillsle ira mogo tweng gaosa bona o jelwe....Batswana open your",22,21,Even Spar does that,Not only Sefalana all the shops ha eke Choppies yone go worse
109,Kĥäĺì Panda,"Today ke buelela babereki...Molao wa,""The customer is always is always right""o senyeditse bale bantsi ditiroSome customers ga ba itsi go buisa babereki gotlheleleKopa lenne le ipaya mo seemong bagaetsho....ha go monate go rogwa ke motho ebe gotwe o re amen",159,109,Customer tse dingwe di kgona go rwala dithako hela baya go senyetsa bana ditiro ba sata go supporta kgwebo,O utlwe motho wa teng a e poka a re ke tla go senyetsa tiro a customer is always right ba tsaya gore ke bokwete
110,Nelle Mookamedi Tabothiwa,"From January up to now, go a pala go tsisa ditena tse di saleng di dueletswe. Story after story everyday if they dont ignore your calls. Koore go dirwa jang ha go ntse jaana ka bo support local ba.You can call everyday ga ba tshabe go go raa bare ditena di etla kamoso mme baitse gore ke maaka.Nnete eta buiwa nako nngwe ka batho ba ba ditena tse dinyenyane mme gotwe 6inch.Bogolo ga ba buse chelete re reke ko Chinese guys",8,12,Batla teraka tsena ha madirelong laisa laisa ya lwapeng,"Ijoo seemo se se santse se le teng ,o thusitse ke ne ke re ke a go duela"
111,Kene Aaron,"DearOrangeand yourOrange MoneyservicesI am no impressed kaha Le berekang Le Rona ka teng, beginning of August Le ganane Le account yaaka e popile abo Le deducta extra 240.00 lere ke nsrakolle,ha Le tshwanetse go busa madi ame lare procedure 3 working days what what,and Le return madi ame after a week,Le Sena sepe gore ke a eng but Le a Tisa ka Nako ya Lona,okHa Le a busa lare ke na Le loan,I report to you and Le bua gore ke phoso,alright, thought Le taa e baakanya in 3…See more",8,6,"Orange and the way your transactions are mixed up, everything leaves people wondering ka dibuka tsa Lona,you must be faking your books,you need serious auditing.your accounting department isn't functioning",Ba lletse for motlakase  thy will give u token number
112,Les Ter,Aitse bus conductors ba ipona ele badingwana aitse...Yesterday I did buy a ticket to Kasane...I had to cancel the ticket cos of ditshwarego tse dingwe...I did call them cos I was doing tse dingwe..they told me to come to them for refund...I came ka bo 3pm...when I got there they took the ticket and gave back madi a shota ka P80 ba re it's cancellation fee...ka ipotsa what u mean cancellation fee kaore ne setse ba rekisitse mi seat immediate hela ke ba lletsa...mind u the bus…See more,155,120,Just report those thieves.,"Their busses are always overloaded, my bus experience with the kasane/kazungula bus will forever be the worst.."
113,Bristah Patson,Nyaa bathong letse re duela internet ya#Mascommaabane e pala le go bula status nyaaa bathong bonang gre le nthusa Jang ? Internet e ka nna tonki Jaana le 24hrs ise e mo digele,1,1,,
114,Latish Ket,"Guys nthuseng foo go lebega go nale problem TSA Lona do tsaya nako e kahe Ka kooooo,my client have lost trust in me ebile I have refunded them",25,137,"Tsa gago e bile di ne di le fast gore, 25-29 Aug e bile they have arrived and are being cleared. Mine took 5 weeks for that to happen and i am still waiting to collect!! ",
115,Pearls K Dibe,Kopa le mpoletse water utilities cooperations gore metsi a kae sale a kgaoga 26/08/2024 mo Mmankgodi,1,3,O lebelle bill ya teng ga ba tswa kwa wena eish ,These guys k ipotsa gore Ba akanya jang bare re tshela jang
116,Laone Magosi,Heish bathong dikatse tsa Avaniimagine going there on an official workshop. Ha ore wa toilet ke eo. Di tlo re robaaaaaaa,124,29, ignore them.,
117,KD Doreen,"I would like to take this opportunity to thank the following Francistown Builders warehouse staffMr Lucky NcanaMr Mokganedi Kheu I'm humbled of the service they rendered to me by going an  extra mile,...I appreciate the 2 men for  the good service and may god bless them in abundance.",8,,,
118,Lulu Naledi,FNB Botswana please explain:,23,30,Are beeng Hela under pillows n move on tse di bank di rekopanetse Le recession ya Lehatshe la Botswana strait ,
119,Phineas Geo,,13,16,Bathong re boletseng mascom gor gatwe network e kae?? Since motshegare around 1 go sena network mo Tonota le gompieno...,Bathong re boletseng mascom gor gatwe network e kae?? Since motshegare around 1 go sena network mo Tonota le gompieno...
120,Marea K Minah Tlharesagae,Bathong orange botswana ke ntse ke tsenyediwa airtime gone hela jaana simcard yame e ncha ga e kolote ha ke Cheka balance in less than 5 minutes bare ke nale 7p mme ke ise ke letse ke ise ke sms,6,14,"Bothata jong ke bo bona kwano ,,gape fa nkalala Kena le air phakela kefithela gosena ba e tsere",Na ke a go busa Sim card a bone ba etsa masepa waitse
121,Gofa Kane Ramos,Orange Botswana sa re utsweleng jalo ur nt work when it comes to internet e poor tota ..madi ao re a sokolla ww cant subscribe for a week then we are forced to do a daily sub 3 times a day le fa motho a sa lebe divideo nnyaa bathong ..sa re jeng  jalo,10,19,Sefalana Trading please hurry with starlink hardware,Le Mascom mxmmmmm
122,Riri Phiri,Orange Botswana mosadi wa lechina letse a ganne go ntirela cash in ke tshwere P160...are o simolola ka P200...a ke molao wa teng? K bata go thaloganya,67,42,"Nna re ithobogole bo Orange money , nzamela ke mathata ga o tshwere madi a manye ga othusiwe bar re a tsaye kae madi a mantsi puso e gana gore amogedisa ba dumela le bo mascom le bo Orange gore bata re thusa jaanong ga bakgone ga ele sefalana choppies … See more","Machaena a a rena a a busa. Ba ipeela melao yotlhe, ya khiro le ya thekiso"
123,Keeme Rams,,313,317,Bathong FNBB e tsere 300 waka wa Bofelo gatwe service fee! I am not okay,Bathong FNBB e tsere 300 waka wa Bofelo gatwe service fee! I am not okay
